,1,2,3,4,5,6,7,8,9,10,11,12
t2m,969.2471251444681,902.4587055960778,850.0640503469922,830.2082828911916,835.6390841332619,937.926235926865,1679.3592380378905,1744.157628184897,1570.737201673001,1397.563122253941,767.8967601797334,797.0417152339708
tp,980.6679476669457,898.5408261871912,850.6522158638356,848.1521555228544,840.2293820533295,938.3836787777251,1688.2291847487036,1351.7430930381684,1420.8392837567899,1293.7666071600488,697.7966690020917,1054.437790665333
t2m-tp,929.0989044165941,921.3450882566718,852.3494957133468,911.5642699029952,868.6482143121264,1061.248812795383,1728.3004170797747,1525.1508194200203,1678.328069022737,1582.1352408985044,758.6918893804058,951.937907359875
SCA_Z500-1_tp-2_dataset.csv,,614.6333035290854,,,,,,,,,,
t2m-SCA_Z500-1_tp-2_dataset.csv,,566.6498590722689,,,,,,,,,,
tp-SCA_Z500-1_tp-2_dataset.csv,,669.6799881163116,,,,,,,,,,
t2m-tp-SCA_Z500-1_tp-2_dataset.csv,,771.705760578395,,,,,,,,,,
NAO_Z500-1_tp-3_dataset.csv,,,620.5489391300322,,,,,,,,,
t2m-NAO_Z500-1_tp-3_dataset.csv,,,663.4857332346531,,,,,,,,,
tp-NAO_Z500-1_tp-3_dataset.csv,,,797.7929963676792,,,,,,,,,
t2m-tp-NAO_Z500-1_tp-3_dataset.csv,,,697.8828310905798,,,,,,,,,
EA_MSLP-1_tp-4_dataset.csv,,,,670.1976899089642,,,,,,,,
ENSO-mei_MSLP-3_tp-4_dataset.csv,,,,573.231433152157,,,,,,,,
SCA_MSLP-3_tp-4_dataset.csv,,,,698.0036781417036,,,,,,,,
t2m-EA_MSLP-1_tp-4_dataset.csv,,,,570.0897530719355,,,,,,,,
t2m-ENSO-mei_MSLP-3_tp-4_dataset.csv,,,,712.8561324925419,,,,,,,,
t2m-SCA_MSLP-3_tp-4_dataset.csv,,,,819.2295054574272,,,,,,,,
tp-EA_MSLP-1_tp-4_dataset.csv,,,,773.4425340474894,,,,,,,,
tp-ENSO-mei_MSLP-3_tp-4_dataset.csv,,,,672.8788536712887,,,,,,,,
tp-SCA_MSLP-3_tp-4_dataset.csv,,,,752.4931291939349,,,,,,,,
t2m-tp-EA_MSLP-1_tp-4_dataset.csv,,,,748.8151334690865,,,,,,,,
t2m-tp-ENSO-mei_MSLP-3_tp-4_dataset.csv,,,,651.256381380261,,,,,,,,
t2m-tp-SCA_MSLP-3_tp-4_dataset.csv,,,,878.3654729868792,,,,,,,,
ENSO-mei_MSLP-3_tp-6_dataset.csv,,,,,,653.4471163283357,,,,,,
NAO_MSLP-1_tp-6_dataset.csv,,,,,,619.4001524372369,,,,,,
NAO_Z500-1_tp-6_dataset.csv,,,,,,754.3181391265726,,,,,,
EA_MSLP-3_tp-6_dataset.csv,,,,,,557.1937137306995,,,,,,
ENSO-mei_Z500-3_tp-6_dataset.csv,,,,,,930.9168439921067,,,,,,
EA_MSLP-2_tp-6_dataset.csv,,,,,,705.3602668562186,,,,,,
t2m-ENSO-mei_MSLP-3_tp-6_dataset.csv,,,,,,755.1793283510513,,,,,,
t2m-NAO_MSLP-1_tp-6_dataset.csv,,,,,,576.5503904849387,,,,,,
t2m-NAO_Z500-1_tp-6_dataset.csv,,,,,,671.6862032639827,,,,,,
t2m-EA_MSLP-3_tp-6_dataset.csv,,,,,,798.5798935733137,,,,,,
t2m-ENSO-mei_Z500-3_tp-6_dataset.csv,,,,,,952.7965913376141,,,,,,
t2m-EA_MSLP-2_tp-6_dataset.csv,,,,,,680.9084052584823,,,,,,
tp-ENSO-mei_MSLP-3_tp-6_dataset.csv,,,,,,815.2371911142178,,,,,,
tp-NAO_MSLP-1_tp-6_dataset.csv,,,,,,725.2385125757996,,,,,,
tp-NAO_Z500-1_tp-6_dataset.csv,,,,,,781.5384563516246,,,,,,
tp-EA_MSLP-3_tp-6_dataset.csv,,,,,,647.5200625987626,,,,,,
tp-ENSO-mei_Z500-3_tp-6_dataset.csv,,,,,,916.9043037674195,,,,,,
tp-EA_MSLP-2_tp-6_dataset.csv,,,,,,745.6185734290949,,,,,,
t2m-tp-ENSO-mei_MSLP-3_tp-6_dataset.csv,,,,,,742.6118428523098,,,,,,
t2m-tp-NAO_MSLP-1_tp-6_dataset.csv,,,,,,669.0743001667322,,,,,,
t2m-tp-NAO_Z500-1_tp-6_dataset.csv,,,,,,742.2439043482873,,,,,,
t2m-tp-EA_MSLP-3_tp-6_dataset.csv,,,,,,682.7426320872273,,,,,,
t2m-tp-ENSO-mei_Z500-3_tp-6_dataset.csv,,,,,,1061.4015925470112,,,,,,
t2m-tp-EA_MSLP-2_tp-6_dataset.csv,,,,,,728.3496740085254,,,,,,
ENSO-mei_MSLP-1_tp-7_dataset.csv,,,,,,,1163.1144706997,,,,,
t2m-ENSO-mei_MSLP-1_tp-7_dataset.csv,,,,,,,1335.6517956821538,,,,,
tp-ENSO-mei_MSLP-1_tp-7_dataset.csv,,,,,,,1076.5681952497373,,,,,
