,pc1,target,phase_label,year_glvar
0,5.610845420757898,93.396,1,1981
1,1.8426475190060687,43.574,1,1982
2,-42.280430845066775,104.552,1,1983
3,-5.702957426819827,127.765,1,1984
4,-19.672175234225165,138.661,1,1988
5,23.73555234589477,24.55,1,1989
6,8.949069270679265,62.735,1,1990
7,4.8562238808407825,65.731,1,1991
8,-8.085542626185035,40.056,1,1992
9,1.853479471205517,79.516,1,1993
10,-2.72855756716761,85.403,1,1994
11,13.919170998550205,16.128,1,1996
12,16.922320618997155,8.558,1,1997
13,5.893803550683135,91.58,1,1999
14,21.28081345204127,47.352,1,2000
15,-8.44253704832232,107.224,1,2004
16,-17.427243568681753,116.525,1,2007
17,-0.30924530321331944,90.505,1,2014
18,-11.643701721435413,107.204,1,2015
19,-0.9426106820475075,56.353,1,2017
20,12.371075942310684,94.423,1,2018
0,-0.8188974586253267,58.656,2,1980
1,-1.4915916848577224,62.145,2,1985
2,1.4207414857413516,118.281,2,1986
3,-0.6878020755599845,40.212,2,1987
4,2.8511468493856134,129.885,2,1995
5,1.9673907745748689,88.083,2,1998
6,-0.9333747993400417,85.522,2,2001
7,-0.9667614304547785,67.263,2,2002
8,-0.39853125006691403,73.574,2,2003
9,-0.5962089498499205,53.984,2,2005
10,-1.109953874028929,18.287,2,2006
11,0.9359973281152218,98.91,2,2008
12,-3.529420720251555,59.608,2,2009
13,1.3984771828619165,49.822,2,2010
14,-0.36949976939468654,71.904,2,2011
15,0.6704821298126649,90.297,2,2012
16,-0.41197701197952535,56.091,2,2013
17,2.36515712539929,107.938,2,2016
18,-0.5736050363576897,48.71,2,2019
19,-0.6467234146067425,60.422,2,2020
20,0.9249547164611094,90.618,2,2021
