prediction,ground_truth,year
60.72,67.597,1980
2.96,37.258,1981
97.449,88.868,1982
45.536,31.294,1983
18.504,27.303,1984
80.89,104.175,1985
82.273,85.939,1986
111.858,87.189,1987
77.918,72.625,1988
80.852,58.181,1989
65.7,43.995,1990
17.573,22.764,1991
110.925,128.278,1992
66.944,65.7,1993
101.936,89.989,1994
50.808,22.497,1995
92.475,98.744,1996
60.61,54.355,1997
71.699,67.593,1998
100.07,99.367,1999
50.283,51.303,2000
81.953,107.73,2001
135.75,146.934,2002
60.787,22.521,2003
125.987,153.639,2004
111.371,101.65,2005
173.729,192.569,2006
63.045,52.895,2007
86.799,114.817,2008
47.091,46.274,2009
144.401,146.264,2010
96.023,128.736,2011
100.592,90.667,2012
4.878,40.892,2013
132.326,126.343,2014
116.83,123.29,2015
73.398,57.581,2016
82.258,75.391,2017
63.627,94.606,2018
90.6,76.337,2019
99.283,91.375,2020
122.827,99.275,2021
