prediction,ground_truth,year
98.97,142.421,1980
113.317,54.994,1981
60.408,32.713,1982
66.854,22.256,1983
71.924,95.445,1984
113.825,100.845,1985
28.128,53.76,1986
136.479,134.54,1987
108.35,151.791,1988
86.007,59.596,1989
57.816,43.238,1990
150.984,86.473,1991
52.649,62.719,1992
116.403,138.492,1993
53.831,21.875,1994
61.18,45.937,1995
56.989,59.759,1996
83.146,69.497,1997
72.577,77.728,1998
45.793,54.398,1999
78.238,102.948,2000
73.869,87.775,2001
110.767,94.124,2002
96.559,76.224,2003
56.169,104.082,2004
65.479,109.448,2005
46.169,25.725,2006
131.575,166.442,2007
100.53,105.991,2008
122.877,103.684,2009
43.675,68.74,2010
93.276,163.954,2011
111.144,133.298,2012
67.898,58.307,2013
93.126,91.657,2014
82.693,95.021,2015
88.438,56.599,2016
72.08,125.55,2017
68.453,19.792,2018
88.734,49.361,2019
98.282,73.534,2020
89.855,97.358,2021
