prediction,ground_truth,year
31.833,41.59,1980
39.716,35.788,1981
31.821,35.431,1982
120.96,105.42,1983
22.401,21.79,1984
58.559,78.559,1985
56.356,64.688,1986
33.4,33.606,1987
33.813,27.742,1988
64.622,78.439,1989
49.906,64.463,1990
51.933,46.967,1991
88.519,57.617,1992
33.32,50.114,1993
64.105,85.773,1994
41.383,42.515,1995
42.468,11.86,1996
36.021,28.147,1997
119.831,131.575,1998
67.843,65.297,1999
94.032,76.353,2000
85.456,95.436,2001
48.203,60.53,2002
53.038,51.564,2003
38.208,45.281,2004
50.461,77.407,2005
84.034,51.755,2006
28.81,1.605,2007
37.968,37.054,2008
43.332,23.97,2009
10.458,27.16,2010
40.198,17.259,2011
83.912,93.777,2012
56.932,31.149,2013
37.727,52.13,2014
41.487,27.186,2015
76.492,67.439,2016
35.75,30.591,2017
90.897,102.506,2018
47.71,32.685,2019
27.629,24.385,2020
49.824,51.776,2021
