prediction,ground_truth,year
66.514,72.959,1980
66.324,79.103,1981
86.486,70.765,1982
66.535,59.341,1983
93.836,78.441,1984
84.826,73.801,1985
79.838,84.644,1986
123.089,110.221,1987
29.824,43.995,1988
42.422,36.577,1989
89.288,88.055,1990
112.719,121.381,1991
121.766,114.02,1992
58.01,62.847,1993
61.8,50.598,1994
59.153,32.26,1995
109.526,130.482,1996
52.952,56.974,1997
107.599,92.019,1998
33.292,52.177,1999
94.794,131.48,2000
78.77,85.69,2001
78.442,88.661,2002
49.389,56.468,2003
69.534,66.664,2004
77.004,66.791,2005
105.99,79.284,2006
62.074,63.658,2007
72.331,87.04,2008
95.87,119.023,2009
63.084,80.795,2010
21.605,17.077,2011
80.146,62.3,2012
86.842,95.385,2013
77.769,64.116,2014
102.924,119.425,2015
70.007,75.849,2016
81.879,71.566,2017
42.019,34.97,2018
80.22,74.313,2019
62.991,45.381,2020
72.718,67.495,2021
