prediction,ground_truth,year
49.626,42.647,1980
72.619,61.647,1981
89.954,59.112,1982
85.755,117.24,1983
137.357,147.559,1984
83.645,48.916,1985
56.861,48.164,1986
65.188,66.991,1987
98.58,99.143,1988
91.413,52.76,1989
101.193,93.283,1990
70.25,69.854,1991
66.489,66.034,1992
110.647,149.343,1993
147.904,147.073,1994
100.905,112.688,1995
40.622,48.278,1996
42.969,29.832,1997
141.311,154.753,1998
84.391,83.683,1999
64.068,85.15,2000
134.024,144.184,2001
14.177,57.527,2002
44.784,46.909,2003
67.726,68.272,2004
64.351,79.997,2005
20.801,31.076,2006
60.014,74.653,2007
69.679,79.746,2008
66.318,40.197,2009
73.032,93.053,2010
100.237,68.379,2011
93.749,79.252,2012
70.031,81.322,2013
26.11,25.215,2014
102.413,98.359,2015
67.674,28.704,2016
137.416,131.717,2017
76.782,68.288,2018
76.703,112.171,2019
63.718,61.863,2020
51.696,33.612,2021
