prediction,ground_truth,year
44.985,42.647,1980
78.842,61.647,1981
79.623,59.112,1982
93.0,117.24,1983
148.608,147.559,1984
80.628,48.916,1985
52.794,48.164,1986
55.127,66.991,1987
97.474,99.143,1988
97.216,52.76,1989
96.085,93.283,1990
70.436,69.854,1991
75.058,66.034,1992
119.344,149.343,1993
126.541,147.073,1994
105.845,112.688,1995
35.44,48.278,1996
41.575,29.832,1997
147.172,154.753,1998
113.606,83.683,1999
65.499,85.15,2000
119.043,144.184,2001
42.265,57.527,2002
68.306,46.909,2003
80.233,68.272,2004
66.001,79.997,2005
13.755,31.076,2006
62.734,74.653,2007
68.189,79.746,2008
58.653,40.197,2009
74.389,93.053,2010
88.593,68.379,2011
97.644,79.252,2012
65.314,81.322,2013
39.363,25.215,2014
103.589,98.359,2015
42.793,28.704,2016
119.171,131.717,2017
69.586,68.288,2018
74.713,112.171,2019
56.822,61.863,2020
55.383,33.612,2021
