prediction,ground_truth,year
60.961,60.543,1980
57.601,42.983,1981
25.002,18.836,1982
32.366,42.887,1983
71.257,61.249,1984
-8.564,9.737,1985
10.909,5.396,1986
20.67,35.931,1987
76.042,87.706,1988
63.146,59.844,1989
87.165,96.374,1990
44.324,29.076,1991
27.032,32.844,1992
23.508,24.723,1993
33.038,36.5,1994
43.254,78.175,1995
55.743,60.069,1996
75.755,84.606,1997
53.613,20.72,1998
58.789,56.135,1999
84.147,98.677,2000
62.075,83.66,2001
81.477,111.308,2002
40.99,23.337,2003
82.648,64.951,2004
78.308,50.053,2005
45.708,57.903,2006
87.75,88.808,2007
39.576,39.917,2008
54.143,62.017,2009
76.066,91.629,2010
43.442,54.225,2011
40.426,25.182,2012
67.984,42.502,2013
91.021,81.808,2014
64.311,54.846,2015
66.031,72.694,2016
87.251,67.993,2017
43.909,28.985,2018
57.48,53.845,2019
117.422,131.383,2020
66.775,60.752,2021
