prediction,ground_truth,year
89.38,87.79,1980
72.303,69.787,1981
78.807,93.726,1982
69.609,40.005,1983
36.292,54.762,1984
102.409,126.504,1985
38.768,56.932,1986
83.847,96.289,1987
41.999,31.234,1988
53.849,67.167,1989
94.994,81.754,1990
89.594,100.819,1991
41.587,52.1,1992
40.633,49.037,1993
76.811,51.526,1994
81.67,64.76,1995
18.208,28.135,1996
114.815,112.482,1997
118.623,136.999,1998
79.379,86.734,1999
74.965,55.016,2000
76.276,56.749,2001
65.582,77.791,2002
53.799,47.241,2003
92.163,70.647,2004
60.072,55.748,2005
71.931,34.652,2006
77.083,100.404,2007
43.213,40.784,2008
53.072,75.436,2009
39.847,33.738,2010
82.069,94.747,2011
101.978,122.004,2012
58.994,63.597,2013
60.901,53.205,2014
50.227,35.568,2015
94.048,113.147,2016
87.002,63.719,2017
27.834,26.89,2018
67.482,106.981,2019
104.669,67.278,2020
108.771,106.484,2021
