prediction,ground_truth,year
99.303,87.79,1980
68.821,69.787,1981
81.171,93.726,1982
67.485,40.005,1983
54.232,54.762,1984
105.247,126.504,1985
40.558,56.932,1986
83.915,96.289,1987
46.591,31.234,1988
56.485,67.167,1989
109.109,81.754,1990
89.343,100.819,1991
45.106,52.1,1992
40.914,49.037,1993
73.938,51.526,1994
70.495,64.76,1995
26.711,28.135,1996
113.923,112.482,1997
119.772,136.999,1998
83.803,86.734,1999
74.522,55.016,2000
83.16,56.749,2001
63.638,77.791,2002
53.121,47.241,2003
75.962,70.647,2004
57.945,55.748,2005
68.161,34.652,2006
79.742,100.404,2007
43.053,40.784,2008
54.445,75.436,2009
35.324,33.738,2010
81.999,94.747,2011
104.133,122.004,2012
60.206,63.597,2013
54.278,53.205,2014
50.57,35.568,2015
92.52,113.147,2016
85.957,63.719,2017
29.634,26.89,2018
83.942,106.981,2019
105.945,67.278,2020
105.959,106.484,2021
