prediction,ground_truth,year
73.319,58.656,1980
65.362,93.396,1981
22.737,43.574,1982
102.344,104.552,1983
103.942,127.765,1984
72.47,62.145,1985
98.338,118.281,1986
82.282,40.212,1987
114.08,138.661,1988
20.828,24.55,1989
59.493,62.735,1990
62.077,65.731,1991
75.264,40.056,1992
64.211,79.516,1993
99.554,85.403,1994
103.479,129.885,1995
35.667,16.128,1996
27.486,8.558,1997
76.414,88.083,1998
77.573,91.58,1999
53.254,47.352,2000
59.284,85.522,2001
62.37,67.263,2002
88.087,73.574,2003
83.958,107.224,2004
68.766,53.984,2005
48.272,18.287,2006
111.537,116.525,2007
75.277,98.91,2008
55.419,59.608,2009
46.825,49.822,2010
47.605,71.904,2011
99.535,90.297,2012
72.43,56.091,2013
75.764,90.505,2014
101.193,107.204,2015
74.641,107.938,2016
63.627,56.353,2017
87.532,94.423,2018
66.68,48.71,2019
56.175,60.422,2020
86.835,90.618,2021
