prediction,ground_truth,year
69.945,23.55,1980
71.183,102.754,1981
49.62,53.242,1982
123.085,118.897,1983
97.779,106.87,1984
55.392,63.013,1985
69.903,49.026,1986
64.75,69.35,1987
80.355,71.891,1988
28.028,14.875,1989
43.683,35.434,1990
59.424,35.415,1991
50.113,48.605,1992
63.484,72.616,1993
37.357,59.619,1994
94.463,94.81,1995
73.409,57.327,1996
78.531,78.281,1997
77.801,44.951,1998
86.804,63.864,1999
69.102,97.272,2000
55.044,47.375,2001
32.027,64.664,2002
70.17,85.303,2003
40.504,37.014,2004
76.184,76.444,2005
98.195,97.35,2006
86.294,116.553,2007
48.142,58.692,2008
57.674,51.13,2009
86.677,63.402,2010
55.106,34.522,2011
69.958,68.418,2012
81.515,89.413,2013
94.045,111.149,2014
56.17,61.485,2015
57.54,61.366,2016
51.782,37.424,2017
41.189,48.213,2018
28.767,39.454,2019
31.751,17.802,2020
95.075,118.604,2021
