prediction,ground_truth,year
66.331,60.543,1980
50.505,42.983,1981
18.609,18.836,1982
35.572,42.887,1983
68.791,61.249,1984
0.835,9.737,1985
6.428,5.396,1986
47.685,35.931,1987
73.147,87.706,1988
64.111,59.844,1989
93.865,96.374,1990
41.907,29.076,1991
23.583,32.844,1992
25.061,24.723,1993
34.319,36.5,1994
41.881,78.175,1995
48.495,60.069,1996
84.035,84.606,1997
48.045,20.72,1998
60.01,56.135,1999
84.942,98.677,2000
65.523,83.66,2001
84.747,111.308,2002
37.646,23.337,2003
76.344,64.951,2004
77.003,50.053,2005
46.008,57.903,2006
95.759,88.808,2007
29.968,39.917,2008
52.938,62.017,2009
77.671,91.629,2010
29.456,54.225,2011
40.287,25.182,2012
60.969,42.502,2013
100.661,81.808,2014
55.188,54.846,2015
69.439,72.694,2016
83.84,67.993,2017
46.144,28.985,2018
56.314,53.845,2019
120.164,131.383,2020
78.812,60.752,2021
