prediction,ground_truth,year
110.124,142.421,1980
93.895,54.994,1981
49.709,32.713,1982
56.549,22.256,1983
110.926,95.445,1984
108.401,100.845,1985
-11.374,53.76,1986
111.569,134.54,1987
156.765,151.791,1988
72.46,59.596,1989
32.33,43.238,1990
116.5,86.473,1991
52.591,62.719,1992
122.513,138.492,1993
44.933,21.875,1994
49.309,45.937,1995
80.144,59.759,1996
94.709,69.497,1997
59.693,77.728,1998
66.63,54.398,1999
71.074,102.948,2000
76.986,87.775,2001
116.988,94.124,2002
83.195,76.224,2003
72.093,104.082,2004
93.373,109.448,2005
35.877,25.725,2006
139.501,166.442,2007
113.832,105.991,2008
111.049,103.684,2009
69.334,68.74,2010
110.65,163.954,2011
154.088,133.298,2012
75.545,58.307,2013
78.641,91.657,2014
92.299,95.021,2015
80.323,56.599,2016
101.754,125.55,2017
34.341,19.792,2018
88.934,49.361,2019
87.741,73.534,2020
88.658,97.358,2021
