prediction,ground_truth,year
73.051,73.573,1980
51.725,63.801,1981
83.086,83.43,1982
38.039,63.898,1983
65.082,57.754,1984
89.06,100.249,1985
122.913,125.43,1986
72.911,47.004,1987
88.802,61.158,1988
99.344,99.994,1989
74.882,71.359,1990
63.967,44.356,1991
67.645,59.721,1992
113.672,142.547,1993
111.392,112.219,1994
43.752,40.513,1995
69.758,45.022,1996
84.486,77.391,1997
61.354,78.078,1998
110.486,142.156,1999
80.358,86.35,2000
47.024,73.461,2001
127.409,93.864,2002
90.044,90.195,2003
49.657,54.078,2004
61.853,50.89,2005
70.243,99.225,2006
53.673,75.825,2007
32.003,32.104,2008
74.042,98.371,2009
58.75,51.992,2010
134.743,135.773,2011
85.364,126.017,2012
97.969,74.252,2013
81.924,89.714,2014
81.591,54.183,2015
45.363,19.912,2016
112.993,122.767,2017
112.781,89.451,2018
84.671,84.951,2019
106.298,109.639,2020
89.183,69.243,2021
