prediction,ground_truth,year
70.731,23.55,1980
63.021,102.754,1981
61.395,53.242,1982
131.198,118.897,1983
88.73,106.87,1984
61.179,63.013,1985
60.856,49.026,1986
68.287,69.35,1987
78.806,71.891,1988
40.329,14.875,1989
37.683,35.434,1990
59.73,35.415,1991
51.103,48.605,1992
70.375,72.616,1993
36.745,59.619,1994
84.813,94.81,1995
81.758,57.327,1996
77.812,78.281,1997
83.452,44.951,1998
82.849,63.864,1999
71.806,97.272,2000
66.032,47.375,2001
35.596,64.664,2002
57.659,85.303,2003
43.767,37.014,2004
84.084,76.444,2005
84.762,97.35,2006
84.753,116.553,2007
60.876,58.692,2008
65.806,51.13,2009
78.435,63.402,2010
62.395,34.522,2011
59.346,68.418,2012
83.695,89.413,2013
80.848,111.149,2014
23.992,61.485,2015
51.762,61.366,2016
63.432,37.424,2017
50.553,48.213,2018
46.54,39.454,2019
0.021,17.802,2020
82.438,118.604,2021
