prediction,ground_truth,year
65.282,72.959,1980
62.314,79.103,1981
73.924,70.765,1982
63.849,59.341,1983
99.824,78.441,1984
89.926,73.801,1985
74.798,84.644,1986
111.659,110.221,1987
35.099,43.995,1988
42.819,36.577,1989
94.049,88.055,1990
99.893,121.381,1991
157.74,114.02,1992
58.838,62.847,1993
56.294,50.598,1994
75.292,32.26,1995
112.649,130.482,1996
52.542,56.974,1997
105.034,92.019,1998
37.448,52.177,1999
94.687,131.48,2000
81.946,85.69,2001
82.618,88.661,2002
50.904,56.468,2003
72.759,66.664,2004
70.221,66.791,2005
96.763,79.284,2006
63.038,63.658,2007
68.97,87.04,2008
92.387,119.023,2009
64.771,80.795,2010
31.556,17.077,2011
77.208,62.3,2012
83.505,95.385,2013
74.316,64.116,2014
98.873,119.425,2015
67.905,75.849,2016
83.101,71.566,2017
52.261,34.97,2018
75.273,74.313,2019
65.223,45.381,2020
63.152,67.495,2021
